adNumber,price,city,adType,model,subModel,productionDate,km,hand,createdAt,updatedAt,rebouncedAt,listingType,number_of_years,km_per_year,description,link,make,hp
89649851,190000,אשקלון,commercial,bZ4X,4X4 Vision חשמלי אוט׳ 5 דל (218 כ״ס),2024-04-01,2860,1,2025-03-17,2025-03-26,2025-03-26,commercial,0.9828884325804244,2909.79,"רכב חשמלי מלא, יד ראשונה בעלות פרטית. רכב במצב חדש, נסע פחות מ3,000 ק""מ.
",https://www.yad2.co.il/vehicles/item/6uj5gud9,טויוטה,218
64040615,199000,באר שבע,commercial,bZ4X,Motion חשמלי אוט׳ (204 כ״ס),2024-06-01,9100,1,2025-03-13,2025-03-26,2025-03-26,commercial,0.8158795345653662,11153.61,"טויוטה BZ4X Motion 2024  חשמלית מלאה

יד 2 פרטית
טווח נסיעה 510 קמ
מנוע חשמלי עם 204 כס
שנת 2024

רכב מתקדם, חסכוני ואמין.
לפרטים נוספים ותיאום נסיעה פנו בפרטי",https://www.yad2.co.il/vehicles/item/7m510imw,טויוטה,204
87467239,214900,ירושלים,commercial,bZ4X,4X4 Vision חשמלי אוט׳ 5 דל (218 כ״ס),2024-05-01,3000,1,2025-02-11,2025-03-26,2025-03-26,commercial,0.9007529089664613,3330.55,"טויוטה BZ4X חשמלית רמת גימור VISION תלת פאזי, חישוקי מגנזיום, מערכת מולטימדיה ענקית, חיישני רוורס, הרכב מטופל בסוכנות טויוטה זמיר בירושלים, מתחייב בבדיקה מנוע גיר שילדה, אחריות לשנתיים , אפשרות לטרייד אין עתידי ולמימון.",https://www.yad2.co.il/vehicles/item/u8ybb80s,טויוטה,218
89607222,196999,קדימה צורן,commercial,bZ4X,4X4 Vision חשמלי אוט׳ 5 דל (218 כ״ס),2024-06-01,0,1,2025-03-21,2025-03-26,2025-03-26,commercial,0.8158795345653662,0.0,"טויוטה, bZ4X, בצבע לבן שנהב, שנת 2024, 0 ק""מ 4X4",https://www.yad2.co.il/vehicles/item/lxetgnqr,טויוטה,218
81696718,214900,ירושלים,commercial,bZ4X,4X4 Vision חשמלי אוט׳ 5 דל (218 כ״ס),2024-05-01,3000,1,2025-02-11,2025-03-26,2025-03-26,commercial,0.9007529089664613,3330.55,"טויוטה BZ4X חשמלית רמת גימור VISION תלת פאזי, חישוקי מגנזיום, מערכת מולטימדיה ענקית, חיישני רוורס, הרכב מטופל בסוכנות טויוטה זמיר בירושלים, מתחייב בבדיקה מנוע גיר שילדה, אחריות לשנתיים , אפשרות לטרייד אין עתידי ולמימון.",https://www.yad2.co.il/vehicles/item/1ei53hfv,טויוטה,218
61133228,175000,קרית עקרון,commercial,bZ4X,Motion חשמלי אוט׳ (204 כ״ס),2023-06-01,57000,1,2025-02-18,2025-03-26,2025-03-26,commercial,1.8179329226557153,31354.29,טויוטה דגם MOTION מפואר כולל ריפודי עור משולב חשמליים כולל חימום מושבים פנסי לד וקסנון כוונון דוושות לוח שעונים קוקפיט מפתח חכם פתיחה סגירה והנעה ללא מפתח מצלמות היקפיות שליטה מלאה מגלגל ההגה כל מערכות הבטיחות המתקדמות מערכת שמע משודרגת רכב מטופל רק במורשה טויוטה ועוד אפשרות 100 אחוז מימון ואפשרות החלפה לא בשבת!,https://www.yad2.co.il/vehicles/item/jnbdl3jr,טויוטה,204
63934543,0,נתניה,commercial,bZ4X,4X4 Vision חשמלי אוט׳ 5 דל (218 כ״ס),2024-03-01,6363,1,2025-02-19,2025-03-26,2025-03-26,commercial,1.0677618069815196,5959.19,"לקוח toyota select תהנה מאחריות היבואן ברכבים מסוג בנזין ומסוג היברידי האחריות למשך שנתיים לפי המוצג בהסכם תוקף האחריות מיום העברת הבעלות/מתום תקופת אחריות היצר
",https://www.yad2.co.il/vehicles/item/xwo4fnr0,טויוטה,218
72510832,0,עכו,commercial,bZ4X,Motion חשמלי אוט׳ (204 כ״ס),2023-08-01,13000,1,2024-08-30,2025-03-26,2025-03-26,commercial,1.6509240246406571,7874.38,רכב שמור במצב חדש מפוצץ תוספות יד 00 בקושי נסע ללא תאונות או תיקוני צבע ממש חדשששש,https://www.yad2.co.il/vehicles/item/1qlp4gb8,טויוטה,204
89477501,230000,חדרה,commercial,bZ4X,Motion חשמלי אוט׳ (204 כ״ס),2024-01-01,0,0,2024-02-28,2025-03-26,2025-03-26,commercial,1.2320328542094456,0.0,BZ4X ייבוא מקביל הלקוח יירשם יד 00 פרטי קיימת במגוון רמות גימור אספקה מהירה מלאי מוגבל!!! אפשרות למימון מלא וטרייד אין זמין שלם וסע! KM-MOTORS מנאי 7 חדרה,https://www.yad2.co.il/vehicles/item/9se1nq3n,טויוטה,204
32102213,204500,,commercial,bZ4X,Motion חשמלי אוט׳ (204 כ״ס),2024-06-01,9100,2,2025-03-12,2025-03-26,2025-03-26,commercial,0.8158795345653662,11153.61,"טווח 502 ק""מ",https://www.yad2.co.il/vehicles/item/nbho36xo,טויוטה,204
48651115,185000,רחובות,commercial,bZ4X,Motion חשמלי אוט׳ (204 כ״ס),2022-12-01,17000,0,2023-03-26,2025-03-26,2025-03-26,commercial,2.316221765913758,7339.54,"החשמלית החדשה של טויוטה BZ4X
 הרכב שכולם חיכו לו ! 
טווח נסיעה של 520 ק""מ 
כול התוספות על הרכב - גם אבזור וגם בטיחות - לא חסר דבר
עכשיו בזמינות מיידית בטויוטה רחובות.
רכב כמעט חדש פחות מ: 15,000 ק""מ.
לרכב כבר הותקן איתוראן + אגרת רישוי משולמת
אחריות מלאה על הרכב
כל הקודם זוכה !",https://www.yad2.co.il/vehicles/item/yivfafxd,טויוטה,204
41673411,0,נתניה,commercial,bZ4X,4X4 Vision חשמלי אוט׳ 5 דל (218 כ״ס),2023-06-01,43000,2,2025-01-29,2025-03-26,2025-03-26,commercial,1.8179329226557153,23653.24,"אפשרות מימון 100% ללא מקדמה. התחייבות בבדיקה לפני קניה- במכון בדיקה שאתם תבחרו! בנוסף אופציה להחלפה (טרייד אין) לכל סוגי הרכבים. וגם התחייבות לטרייד אין עתידי אצלנו. חפשו אותנו בכל הרשתות: ביי אנד גו (כביש 2 נתניה) בנוסף קיים במלאי יותר מ150 רכבים חדשים ומשומשים בואו להתרשם! אז חייגו עוד היום לאחד מנציגי המכירות וקבלו הצעה אטרקטיבית ומשתלמת...
",https://www.yad2.co.il/vehicles/item/w4ek7rd1,טויוטה,218
67890015,207000,נתניה,commercial,bZ4X,4X4 Vision חשמלי אוט׳ 5 דל (218 כ״ס),2024-06-01,0,0,2025-03-11,2025-03-26,2025-03-26,commercial,0.8158795345653662,0.0,"בס""ד

טויוטה BZ4-X החדשה 
רכב חשמלי מהממם ומפנק מאוד 
מבית היצור של טויוטה 
מערכות בטיחות מתקדמות ביותר 
אבזור עשיר מאוד 
218 כ""ס חשמלי מלא 
תווך נסיעה של 520 ק""מ 
רכב 4*4 חזק עוצמתי בטיחותי ומושלם למשפחות 

אפשרות מימון מלא מגיל 18 בלבד !!",https://www.yad2.co.il/vehicles/item/meelwiqh,טויוטה,218
